id,name,code,description,campus_id,created_at,updated_at
1,"College of Engineering and Information Technology",CEIT,"CEIT in Main University",1,"2024-05-24 09:06:47","2024-05-24 09:06:47"
2,"College of Nursing",CON,"CON in Main University",1,"2024-05-24 09:06:47","2024-05-24 09:06:47"
3,"College of Agriculture, Food, Environment, and Natural Resources",CAFENR,NULL,1,"2024-07-05 18:54:16","2024-07-05 18:54:16"
4,"College of Arts and Sciences",CAS,NULL,1,"2024-07-05 18:54:36","2024-07-05 18:54:36"
5,"College of Criminal Justice",CCJ,NULL,1,"2024-07-05 18:54:48","2024-07-10 01:46:46"
6,"College of Economics, Management, and Development Studies",CEMDS,NULL,1,"2024-07-05 18:55:17","2024-07-05 18:55:17"
7,"College of Education",CED,NULL,1,"2024-07-05 18:55:25","2024-07-05 18:55:25"
8,"College of Medicine",COM,NULL,1,"2024-07-05 18:55:40","2024-07-05 18:55:40"
9,"College of Sports, Physical Education, and Recreation",CSPEAR,NULL,1,"2024-07-05 18:56:08","2024-07-05 18:56:08"
10,"College of Veterinary Medicine and Biomedical Science",CVMBS,NULL,1,"2024-07-05 18:56:27","2024-07-05 18:56:27"
11,"Graduate School and Open Learning College",GS-OLC,NULL,1,"2024-07-05 22:39:27","2024-07-05 22:39:27"
12,"College of Tourism and Hospitality Management",CTHM,NULL,1,"2025-03-12 14:22:46","2025-03-12 14:22:46"
13,Bacoor,BCR,NULL,3,"2025-03-12 14:28:45","2025-03-12 15:36:54"
14,Carmona,CRMN,NULL,4,"2025-03-12 14:31:03","2025-03-12 15:37:14"
15,"Cavite City",CC,NULL,5,"2025-03-12 14:43:58","2025-03-12 14:43:58"
16,Dasma,DSMRÑS,NULL,6,"2025-03-12 15:37:38","2025-03-12 15:37:38"
17,"Gen. Trias",GN.TRS,NULL,7,"2025-03-12 15:46:39","2025-03-12 15:46:39"
18,Imus,IMUS,NULL,8,"2025-03-12 15:48:29","2025-03-12 15:48:29"
19,Naic,NAIC,NULL,9,"2025-04-08 07:30:20","2025-04-08 07:30:20"
20,CCAT,CCAT,NULL,10,"2025-04-08 07:34:06","2025-04-08 07:34:06"
21,Silang,SILANG,NULL,11,"2025-04-08 07:43:39","2025-04-08 07:43:39"
22,Tanza,TANZA,NULL,12,"2025-04-08 07:50:12","2025-04-08 07:50:12"
23,Trece,TMC,NULL,13,"2025-04-08 07:54:58","2025-04-08 07:54:58"
25,"Department of Psychology",.,NULL,13,"2025-04-30 09:27:00","2025-04-30 09:27:00"
